Condition,Linear,Spline,Diagonal Climatology,LOCF
extreme_high_temp,1.7085897435897432,2.7952820512820513,1.9938205128205129,3.4636666666666667
high_temp,1.819758620689655,2.3411724137931036,2.5769655172413795,4.186413793103449
low_temp,1.573561403508772,2.570701754385965,1.7346666666666668,2.03959649122807
normal,1.8377464285714284,2.8205642857142856,1.8252035714285715,2.9327428571428573
