Method,Missing %,Condition,Boundary,Length,Gap_size,MAE,RMSE,R2,Bias
Linear,20%,normal,stable,short,5,0.193,0.228,-0.576,-0.182
Linear,20%,stagnant_wind,crossing,short,5,0.67,0.86,0.7939,0.33
Linear,20%,normal,falling,medium,13,0.381,0.486,0.8554,0.024
Linear,20%,normal,rising,short,3,0.806,0.809,-0.0125,-0.806
Linear,20%,normal,crossing,short,5,0.471,0.537,0.6238,-0.471
Linear,20%,extreme_high_temp,crossing,short,5,0.981,1.081,0.769,-0.485
Linear,20%,low_temp,stable,short,3,0.515,0.552,-4.962,0.515
Linear,20%,normal,stable,short,5,1.176,1.244,-16.7044,-1.176
Linear,20%,extreme_high_temp,crossing,long,31,4.572,5.387,-0.5561,-4.377
Linear,20%,normal,falling,medium,11,0.454,0.495,0.9257,-0.061
Linear,20%,stagnant_wind,crossing,medium,10,1.428,1.877,-3.8081,1.345
Linear,20%,normal,falling,long,25,1.083,1.438,0.2492,-0.866
Linear,20%,normal,stable,long,29,2.711,2.902,-7.9184,2.711
Linear,20%,normal,crossing,medium,21,2.804,3.491,-0.7442,2.791
Linear,20%,extreme_high_temp,rising,medium,9,0.529,0.572,0.4157,-0.529
Linear,20%,normal,stable,long,49,2.569,3.141,-1.1342,1.935
Linear,20%,normal,stable,medium,15,5.093,5.815,-3.2912,-5.023
Linear,20%,normal,crossing,short,4,0.405,0.542,0.9663,0.089
Linear,20%,high_temp,crossing,short,3,0.548,0.596,0.558,-0.548
Linear,20%,normal,stable,short,1,0.048,0.048,,0.048
Linear,20%,low_temp,stable,medium,21,1.673,1.808,-75.0193,1.673
Linear,20%,low_temp,crossing,medium,11,1.33,1.579,0.4522,1.33
Linear,20%,normal,stable,short,1,0.165,0.165,,-0.165
Linear,20%,normal,crossing,medium,11,0.715,0.833,0.908,-0.703
Linear,20%,normal,stable,long,49,2.175,2.495,-0.4624,-0.56
Linear,20%,normal,stable,medium,21,0.889,1.109,-1.3559,0.87
Linear,20%,normal,crossing,medium,13,0.582,0.694,0.9184,0.493
Linear,20%,normal,rising,medium,12,2.087,2.288,0.7364,0.452
Linear,20%,normal,falling,short,1,0.129,0.129,,0.129
Linear,20%,normal,stable,short,5,0.649,0.681,0.4276,0.649
Linear,20%,extreme_high_temp,falling,short,5,0.411,0.544,0.7062,-0.411
Linear,20%,stagnant_wind,crossing,medium,13,2.684,2.855,-3.5259,2.684
Linear,20%,stagnant_wind,stable,short,1,0.04,0.04,,-0.04
Linear,20%,low_temp,crossing,medium,21,3.103,3.409,-2.9181,3.103
Linear,20%,stagnant_wind,stable,short,1,0.093,0.093,,0.093
Linear,20%,low_temp,stable,short,3,0.206,0.213,-13.0669,0.206
Linear,20%,normal,crossing,short,5,0.071,0.074,0.9963,-0.024
Linear,20%,normal,stable,short,3,0.591,0.671,0.3877,-0.029
Linear,20%,stagnant_wind,stable,short,4,1.759,1.836,-38.2141,1.759
Linear,20%,stagnant_wind,rising,short,3,0.608,0.66,0.6016,0.608
Linear,20%,normal,rising,medium,9,5.605,5.974,-4.3719,5.605
Linear,20%,normal,rising,short,5,0.18,0.25,0.6168,-0.14
Linear,20%,stagnant_wind,rising,medium,13,2.457,2.781,-5.4408,2.457
Linear,20%,high_temp,rising,medium,23,2.976,3.689,-0.9899,2.958
Linear,20%,stagnant_wind,stable,medium,7,0.097,0.125,0.742,-0.026
Linear,20%,normal,crossing,medium,7,1.479,1.575,-1.0134,1.479
Linear,20%,high_temp,stable,medium,7,0.432,0.517,-3.6419,-0.432
Linear,20%,normal,stable,medium,19,0.62,0.72,-0.4266,0.438
Linear,20%,normal,falling,short,3,0.137,0.158,0.9281,-0.028
Linear,20%,normal,crossing,long,45,2.927,3.708,-1.4514,-2.873
Linear,20%,normal,stable,short,5,0.237,0.294,0.6134,-0.014
Linear,20%,normal,stable,medium,7,0.422,0.445,0.2414,0.422
Linear,20%,normal,falling,medium,11,0.52,0.599,-1.0814,0.419
Linear,20%,high_temp,stable,medium,7,0.533,0.586,-7.4197,-0.533
Linear,20%,stagnant_wind,stable,medium,9,1.002,1.051,-9.3575,1.002
Linear,20%,low_temp,stable,long,40,3.66,4.096,-0.0678,1.032
Linear,20%,normal,stable,long,43,1.715,2.236,0.042,-0.562
Linear,20%,low_temp,crossing,short,5,0.679,0.71,-4.8273,0.679
Linear,20%,normal,stable,short,5,0.168,0.237,-0.2388,-0.094
Linear,20%,low_temp,stable,short,3,0.17,0.198,-1.2313,-0.125
Linear,20%,normal,falling,short,5,0.95,1.205,0.7255,-0.479
Linear,20%,normal,falling,medium,7,2.038,2.194,-6.9773,2.038
Linear,20%,normal,stable,short,5,0.312,0.381,-0.9886,0.175
Linear,20%,low_temp,crossing,medium,7,1.115,1.231,-1.698,1.115
Linear,20%,high_temp,stable,short,1,0.166,0.166,,-0.166
Linear,20%,normal,stable,short,1,0.07,0.07,,0.07
Linear,20%,normal,falling,medium,11,0.331,0.372,0.8668,0.326
Linear,20%,normal,crossing,short,3,1.463,1.903,-0.0303,1.325
Linear,20%,normal,falling,short,5,0.228,0.272,0.9439,0.067
Linear,20%,normal,falling,long,40,3.54,3.95,-0.0178,-1.186
Linear,20%,high_temp,crossing,medium,21,1.449,1.751,0.5945,-1.439
Linear,20%,stagnant_wind,stable,short,3,0.571,0.606,-52.6975,0.571
Linear,20%,normal,crossing,medium,16,2.282,2.702,0.128,2.263
Linear,20%,low_temp,crossing,long,33,0.777,0.899,-3.7029,0.637
Linear,20%,normal,rising,medium,14,2.476,2.636,-7.8343,-2.476
Linear,20%,extreme_high_temp,crossing,medium,7,0.234,0.255,0.9703,-0.234
Linear,20%,stagnant_wind,rising,medium,15,2.427,2.841,-0.4226,2.427
Linear,20%,normal,stable,medium,15,1.781,1.939,-5.6225,-1.781
Linear,20%,normal,rising,short,1,0.162,0.162,,-0.162
Linear,20%,normal,stable,short,3,0.18,0.188,-5.4289,-0.18
Linear,20%,normal,falling,medium,9,0.351,0.456,0.8712,-0.204
Linear,20%,normal,stable,short,3,0.559,0.57,-10.4902,0.559
Linear,20%,normal,stable,medium,17,2.432,2.549,-4.3272,-2.432
Linear,20%,normal,stable,medium,21,1.346,1.553,-3.0822,-1.346
Linear,20%,normal,stable,long,33,2.74,3.695,-0.601,-2.532
Linear,20%,normal,stable,short,5,0.461,0.512,-4.2776,0.461
Linear,20%,stagnant_wind,falling,short,3,0.43,0.445,0.6161,-0.43
Linear,20%,stagnant_wind,crossing,medium,13,2.125,2.544,0.1616,2.045
Linear,20%,normal,stable,short,3,0.139,0.148,-1.618,-0.139
Linear,20%,extreme_high_temp,stable,medium,7,0.571,0.636,-0.9829,-0.571
Linear,20%,normal,falling,short,5,0.84,1.03,0.4559,0.683
Linear,20%,normal,stable,short,3,0.087,0.088,0.0288,-0.018
Linear,20%,low_temp,crossing,medium,22,2.621,3.047,-2.171,2.621
Linear,20%,normal,stable,short,1,0.448,0.448,,-0.448
Linear,20%,normal,crossing,medium,20,3.117,3.48,-2.5567,3.117
Spline,20%,extreme_high_temp,crossing,medium,19,1.438,1.823,0.7527,-0.77
Spline,20%,stagnant_wind,rising,short,3,1.348,1.526,-3.5114,-1.348
Spline,20%,normal,crossing,medium,19,2.069,2.191,0.4253,-0.253
Spline,20%,normal,rising,long,39,3.183,3.507,-0.5468,-1.031
Spline,20%,normal,falling,medium,17,0.722,0.926,0.6391,-0.421
Spline,20%,high_temp,crossing,medium,15,1.063,1.232,0.2363,1.063
Spline,20%,extreme_high_temp,stable,short,3,1.445,1.453,-43.8032,-1.445
Spline,20%,stagnant_wind,stable,short,3,0.536,0.635,-124.8782,-0.536
Spline,20%,low_temp,stable,medium,9,0.975,1.047,-1.5171,0.285
Spline,20%,normal,crossing,medium,19,5.26,5.7,-2.5624,5.26
Spline,20%,extreme_high_temp,rising,medium,19,13.234,13.391,-71.0575,-13.234
Spline,20%,stagnant_wind,crossing,short,3,0.108,0.145,-12.7041,0.05
Spline,20%,normal,crossing,long,47,5.882,6.447,-2.3562,2.996
Spline,20%,stagnant_wind,stable,long,25,1.405,1.92,-0.0395,0.556
Spline,20%,low_temp,crossing,medium,15,3.513,3.706,-4.6565,3.513
Spline,20%,low_temp,crossing,short,3,1.106,1.176,-0.8468,1.106
Spline,20%,normal,stable,short,3,3.535,3.552,-401.9655,-3.535
Spline,20%,low_temp,crossing,long,35,3.806,4.475,-0.592,3.49
Spline,20%,low_temp,crossing,short,3,0.765,0.961,0.5004,0.299
Spline,20%,stagnant_wind,stable,short,5,1.295,1.347,-97.4104,1.295
Spline,20%,normal,falling,medium,11,1.374,1.484,0.4904,-0.6
Spline,20%,low_temp,crossing,short,5,7.022,7.146,-21.8813,7.022
Spline,20%,low_temp,crossing,medium,7,1.594,1.884,0.1749,1.583
Spline,20%,normal,stable,short,5,0.269,0.353,-2.1958,0.09
Spline,20%,stagnant_wind,stable,medium,7,1.64,1.8,-48.6761,1.64
Spline,20%,normal,crossing,medium,23,5.345,6.046,-3.254,5.345
Spline,20%,normal,stable,long,45,3.137,3.303,-8.4319,-3.137
Spline,20%,normal,crossing,medium,17,2.904,3.627,-0.667,-2.545
Spline,20%,stagnant_wind,stable,short,1,6.492,6.492,,6.492
Spline,20%,normal,stable,long,27,8.898,9.207,-13.2742,8.898
Spline,20%,normal,stable,short,5,1.273,1.278,-49.5505,-1.273
Spline,20%,normal,crossing,long,39,10.426,11.381,-9.313,-10.426
Spline,20%,normal,stable,medium,7,0.529,0.624,-6.511,-0.529
Spline,20%,normal,stable,long,42,5.389,6.531,-6.0039,5.103
Spline,20%,normal,crossing,medium,21,2.885,3.327,-3.2355,2.885
Spline,20%,stagnant_wind,crossing,medium,7,0.974,1.062,-3.725,0.974
Spline,20%,normal,rising,medium,13,1.529,1.7,0.8234,0.342
Spline,20%,stagnant_wind,stable,short,2,0.518,0.553,-3.8143,0.518
Spline,20%,normal,crossing,long,37,1.726,2.087,0.4709,-0.814
Spline,20%,normal,crossing,medium,18,1.993,2.246,-0.7337,1.462
Spline,20%,normal,falling,long,43,3.036,3.2,-1.0086,2.115
Spline,20%,normal,crossing,long,37,3.749,3.856,-0.9104,2.779
Spline,20%,normal,stable,long,41,3.693,4.389,-3.5774,-3.693
Spline,20%,high_temp,crossing,medium,23,2.389,2.564,0.6677,-0.737
Spline,20%,low_temp,stable,short,3,4.242,4.252,-3343.3056,4.242
Spline,20%,normal,stable,long,37,4.865,5.103,-13.716,4.865
Spline,20%,low_temp,stable,short,1,0.839,0.839,,0.839
Spline,20%,high_temp,stable,long,28,6.907,7.972,-6.4245,-6.907
Spline,20%,normal,rising,medium,7,2.283,2.305,-3.6524,-2.283
Spline,20%,normal,stable,medium,7,1.02,1.119,-0.8075,-0.609
Spline,20%,high_temp,crossing,short,3,4.016,4.372,-5.9592,-4.016
Spline,20%,normal,crossing,medium,9,1.35,1.67,0.5997,1.35
Spline,20%,normal,stable,medium,17,4.579,4.798,-16.2975,-4.579
Spline,20%,stagnant_wind,stable,medium,9,2.829,3.115,-9.8511,2.829
Spline,20%,normal,stable,long,33,7.787,8.307,-9.6646,7.787
Spline,20%,normal,stable,medium,7,1.583,1.612,-9.6532,-1.583
Spline,20%,low_temp,crossing,medium,21,3.471,3.656,-6.2405,3.471
Spline,20%,normal,rising,short,3,0.512,0.655,-0.1194,-0.477
Spline,20%,normal,rising,long,25,1.217,1.505,-0.4587,1.124
Spline,20%,high_temp,crossing,medium,19,2.146,2.27,0.3207,-2.146
Spline,20%,normal,falling,short,3,3.903,4.029,-36.9125,3.903
Spline,20%,normal,crossing,medium,17,2.103,2.583,0.5057,1.942
Spline,20%,low_temp,rising,medium,17,3.11,3.417,-2.5801,3.11
Spline,20%,normal,stable,short,3,2.007,2.016,-290.2721,2.007
Spline,20%,normal,crossing,medium,23,2.318,2.547,0.4458,2.318
Spline,20%,extreme_high_temp,stable,short,5,1.019,1.145,-5.3666,-1.019
Spline,20%,normal,falling,short,5,0.594,0.66,0.5847,-0.31
Spline,20%,normal,rising,short,5,0.801,0.933,0.1539,-0.801
Spline,20%,normal,crossing,short,5,0.392,0.42,-3.7635,0.277
Spline,20%,normal,stable,short,3,2.653,2.725,-35.6086,-2.653
Spline,20%,normal,crossing,long,25,0.767,0.824,0.9382,0.285
Spline,20%,stagnant_wind,stable,short,5,1.827,1.846,-13.7659,1.827
Spline,20%,normal,rising,short,3,5.772,5.816,-61.2294,-5.772
Spline,20%,extreme_high_temp,stable,short,5,0.2,0.23,-3.9401,0.012
Spline,20%,normal,rising,short,3,5.238,5.461,-18.4736,5.238
Spline,20%,normal,crossing,long,39,5.801,6.23,-1.9753,-0.029
Spline,20%,normal,crossing,medium,19,1.161,1.538,0.3112,-0.835
Spline,20%,extreme_high_temp,crossing,short,5,0.808,0.914,0.4125,-0.808
Spline,20%,normal,falling,medium,12,3.425,3.872,-11.2471,3.425
Spline,20%,normal,crossing,long,25,1.402,1.644,0.5258,1.199
Spline,20%,normal,stable,long,37,2.567,2.954,0.11,0.038
Spline,20%,normal,rising,long,47,5.164,6.46,-2.0438,-5.148
Spline,20%,normal,crossing,medium,17,0.535,0.631,0.9605,0.238
Spline,20%,normal,crossing,medium,11,1.842,2.051,0.4505,0.899
Spline,20%,normal,falling,short,1,0.098,0.098,,0.098
Spline,20%,high_temp,crossing,short,5,1.05,1.09,-0.2426,1.05
Spline,20%,high_temp,stable,short,5,0.745,0.957,-30.8923,-0.644
Spline,20%,extreme_high_temp,crossing,medium,17,4.253,4.467,-13.4852,-4.253
Spline,20%,normal,falling,medium,9,3.856,3.99,-11.3163,-3.856
Spline,20%,normal,stable,short,3,0.218,0.23,-0.0159,-0.138
Spline,20%,extreme_high_temp,crossing,short,5,0.425,0.462,0.8883,-0.271
Spline,20%,normal,crossing,long,29,6.034,7.252,-3.3049,6.034
Spline,20%,normal,crossing,medium,17,0.853,0.99,0.8682,-0.797
Spline,20%,normal,stable,short,3,6.657,6.664,-429.0589,-6.657
Spline,20%,normal,stable,short,5,0.561,0.763,-12.6194,0.538
Spline,20%,extreme_high_temp,stable,short,3,1.7,1.737,-30.5433,1.7
Spline,20%,normal,stable,short,2,1.534,1.534,-479.2823,-1.534
Spline,20%,normal,stable,short,1,2.244,2.244,,2.244
Spline,20%,normal,rising,short,3,0.24,0.299,0.8219,0.106
Spline,20%,normal,rising,long,29,5.189,6.111,-0.8791,4.76
Spline,20%,normal,falling,short,3,1.3,1.323,-2.4491,-1.3
Spline,20%,high_temp,crossing,medium,11,0.448,0.496,0.9578,0.179
Spline,20%,low_temp,crossing,medium,17,0.282,0.45,0.2349,0.266
Spline,20%,extreme_high_temp,crossing,medium,9,0.779,0.99,0.7992,-0.779
Spline,20%,normal,stable,long,44,3.398,4.521,-0.3654,-1.908
Spline,20%,normal,rising,short,5,1.743,1.752,-2.0973,-1.743
Spline,20%,normal,stable,short,5,2.428,2.433,-178.8836,-2.428
Spline,20%,stagnant_wind,crossing,short,5,0.957,1.316,0.5175,0.952
Spline,20%,normal,falling,medium,13,1.454,1.853,-1.1003,-1.324
Spline,20%,normal,rising,short,3,0.328,0.377,0.78,-0.241
Spline,20%,normal,crossing,short,5,2.714,2.771,-9.0219,-2.714
Spline,20%,extreme_high_temp,crossing,short,5,2.057,2.186,0.055,-0.377
Spline,20%,low_temp,stable,short,3,1.713,1.722,-57.0641,1.713
Spline,20%,normal,stable,short,5,2.596,2.604,-76.6273,-2.596
Spline,20%,extreme_high_temp,crossing,long,31,7.005,7.975,-2.4101,-6.905
Spline,20%,normal,falling,medium,11,1.048,1.192,0.5689,0.586
Spline,20%,stagnant_wind,crossing,medium,10,0.816,1.105,-0.6665,0.568
Spline,20%,normal,falling,long,25,1.747,2.247,-0.8335,-1.603
Spline,20%,normal,stable,long,29,2.728,2.905,-7.937,2.367
Spline,20%,normal,crossing,medium,21,3.014,3.583,-0.8375,2.996
Spline,20%,extreme_high_temp,rising,medium,9,1.786,1.842,-5.0582,-1.786
Spline,20%,normal,stable,long,49,3.248,3.724,-1.9994,1.581
Spline,20%,normal,stable,medium,15,4.698,5.154,-2.3709,-4.419
Spline,20%,normal,crossing,short,4,0.568,0.981,0.8897,0.562
Spline,20%,high_temp,crossing,short,3,0.341,0.411,0.7894,0.099
Spline,20%,normal,stable,short,1,0.766,0.766,,0.766
Spline,20%,low_temp,stable,medium,21,3.336,3.378,-264.3383,3.336
Spline,20%,low_temp,crossing,medium,11,2.44,2.633,-0.523,2.44
Spline,20%,normal,stable,short,1,0.455,0.455,,0.455
Spline,20%,normal,crossing,medium,11,0.934,1.035,0.8581,-0.515
Spline,20%,normal,stable,long,49,3.0,3.333,-1.6094,0.504
Spline,20%,normal,stable,medium,21,1.452,1.597,-3.8813,1.398
Spline,20%,normal,crossing,medium,13,1.584,1.664,0.5311,1.584
Spline,20%,normal,rising,medium,12,3.623,3.826,0.2628,1.554
Spline,20%,normal,falling,short,1,0.04,0.04,,0.04
Spline,20%,normal,stable,short,5,0.943,0.979,-0.1814,0.943
Spline,20%,extreme_high_temp,falling,short,5,0.944,1.026,-0.0453,-0.944
Spline,20%,stagnant_wind,crossing,medium,13,4.077,4.216,-8.8678,4.077
Spline,20%,stagnant_wind,stable,short,1,2.219,2.219,,-2.219
Spline,20%,low_temp,crossing,medium,21,3.195,3.509,-3.1521,3.195
Spline,20%,stagnant_wind,stable,short,1,1.085,1.085,,-1.085
Spline,20%,low_temp,stable,short,3,1.285,1.286,-512.7919,1.285
Spline,20%,normal,crossing,short,5,0.188,0.211,0.9701,-0.095
Spline,20%,normal,stable,short,3,0.465,0.594,0.5201,-0.155
Spline,20%,stagnant_wind,stable,short,4,2.358,2.4,-65.9968,2.358
Spline,20%,stagnant_wind,rising,short,3,1.001,1.189,-0.2948,1.001
Spline,20%,normal,rising,medium,9,5.374,5.632,-3.7749,5.374
Spline,20%,normal,rising,short,5,1.353,1.363,-10.3748,-1.353
Spline,20%,stagnant_wind,rising,medium,13,2.878,3.206,-7.5631,2.878
Spline,20%,high_temp,rising,medium,23,2.452,3.044,-0.3552,2.36
Spline,20%,stagnant_wind,stable,medium,7,0.48,0.552,-4.0778,0.48
Spline,20%,normal,crossing,medium,7,0.476,0.583,0.7238,-0.304
Spline,20%,high_temp,stable,medium,7,0.633,0.689,-7.2437,-0.633
Spline,20%,normal,stable,medium,19,0.681,0.747,-0.5352,0.44
Spline,20%,normal,falling,short,3,0.892,0.965,-1.693,0.892
Spline,20%,normal,crossing,long,45,6.576,7.312,-8.5325,-6.576
Spline,20%,normal,stable,short,5,0.838,0.946,-3.0013,0.838
Spline,20%,normal,stable,medium,7,0.334,0.386,0.4286,0.334
Spline,20%,normal,falling,medium,11,0.605,0.677,-1.6636,-0.605
Spline,20%,high_temp,stable,medium,7,0.684,0.696,-10.8874,-0.684
Spline,20%,stagnant_wind,stable,medium,9,0.558,0.604,-2.4231,-0.002
Spline,20%,low_temp,stable,long,40,3.66,4.096,-0.0678,1.032
Spline,20%,normal,stable,long,43,2.41,2.865,-0.5732,-0.772
Spline,20%,low_temp,crossing,short,5,1.227,1.247,-16.9549,1.227
Spline,20%,normal,stable,short,5,0.473,0.534,-5.2862,0.21
Spline,20%,low_temp,stable,short,3,1.275,1.288,-93.8275,-1.275
Spline,20%,normal,falling,short,5,2.002,2.139,0.1344,0.968
Spline,20%,normal,falling,medium,7,2.577,2.78,-11.8119,2.577
Spline,20%,normal,stable,short,5,1.301,1.548,-31.8953,-1.264
Spline,20%,low_temp,crossing,medium,7,2.192,2.33,-8.6629,2.192
Spline,20%,high_temp,stable,short,1,1.091,1.091,,-1.091
Spline,20%,normal,stable,short,1,0.783,0.783,,-0.783
Spline,20%,normal,falling,medium,11,0.642,0.702,0.5257,-0.003
Spline,20%,normal,crossing,short,3,1.495,1.817,0.0608,0.942
Spline,20%,normal,falling,short,5,0.992,1.183,-0.0633,0.991
Spline,20%,normal,falling,long,40,5.449,6.125,-1.4471,-2.14
Spline,20%,high_temp,crossing,medium,21,2.507,3.002,-0.1918,1.344
Spline,20%,stagnant_wind,stable,short,3,2.291,2.315,-783.3361,2.291
Spline,20%,normal,crossing,medium,16,1.565,1.845,0.5933,1.525
Spline,20%,low_temp,crossing,long,33,4.404,4.441,-113.8384,4.404
Spline,20%,normal,rising,medium,14,6.564,6.651,-55.2354,-6.564
Spline,20%,extreme_high_temp,crossing,medium,7,0.462,0.544,0.8646,-0.354
Spline,20%,stagnant_wind,rising,medium,15,3.18,3.444,-1.0916,3.18
Spline,20%,normal,stable,medium,15,3.305,3.501,-20.5921,-3.305
Spline,20%,normal,rising,short,1,0.618,0.618,,-0.618
Spline,20%,normal,stable,short,3,1.338,1.339,-326.3294,-1.338
Spline,20%,normal,falling,medium,9,0.432,0.468,0.8639,-0.122
Spline,20%,normal,stable,short,3,1.623,1.627,-92.6756,1.623
Spline,20%,normal,stable,medium,17,2.444,2.504,-4.1393,-2.444
Spline,20%,normal,stable,medium,21,2.61,2.808,-12.3454,-2.61
Spline,20%,normal,stable,long,33,6.495,7.173,-5.0317,-6.495
Spline,20%,normal,stable,short,5,0.209,0.266,-0.426,-0.065
Spline,20%,stagnant_wind,falling,short,3,0.678,0.78,-0.1822,-0.678
Spline,20%,stagnant_wind,crossing,medium,13,2.287,2.568,0.1457,1.778
Spline,20%,normal,stable,short,3,0.581,0.682,-54.6297,-0.581
Spline,20%,extreme_high_temp,stable,medium,7,3.354,3.397,-55.6574,-3.354
Spline,20%,normal,falling,short,5,1.302,1.328,0.095,0.423
Spline,20%,normal,stable,short,3,0.326,0.332,-12.6577,-0.326
Spline,20%,low_temp,crossing,medium,22,2.001,2.534,-1.1936,1.688
Spline,20%,normal,stable,short,1,2.687,2.687,,-2.687
Spline,20%,normal,crossing,medium,20,3.046,3.325,-2.247,3.046
Diagonal Climatology,20%,extreme_high_temp,crossing,medium,19,1.908,2.124,0.664,-0.062
Diagonal Climatology,20%,stagnant_wind,rising,short,3,0.647,0.824,-0.3159,-0.647
Diagonal Climatology,20%,normal,crossing,medium,19,2.224,2.24,0.3995,2.224
Diagonal Climatology,20%,normal,rising,long,39,0.579,0.647,0.9474,-0.11
Diagonal Climatology,20%,normal,falling,medium,17,2.902,2.942,-2.6458,-2.902
Diagonal Climatology,20%,high_temp,crossing,medium,15,1.532,1.66,-0.3865,-1.532
Diagonal Climatology,20%,extreme_high_temp,stable,short,3,1.506,1.514,-47.6808,1.506
Diagonal Climatology,20%,stagnant_wind,stable,short,3,0.434,0.435,-58.0255,-0.434
Diagonal Climatology,20%,low_temp,stable,medium,9,0.786,0.872,-0.7429,0.786
Diagonal Climatology,20%,normal,crossing,medium,19,2.777,2.825,0.1246,2.777
Diagonal Climatology,20%,extreme_high_temp,rising,medium,19,2.484,2.534,-1.5808,-2.484
Diagonal Climatology,20%,stagnant_wind,crossing,short,3,0.06,0.068,-1.9883,-0.007
Diagonal Climatology,20%,normal,crossing,long,47,1.374,1.557,0.8043,1.303
Diagonal Climatology,20%,stagnant_wind,stable,long,25,2.724,3.209,-1.9042,2.593
Diagonal Climatology,20%,low_temp,crossing,medium,15,1.211,1.278,0.327,1.211
Diagonal Climatology,20%,low_temp,crossing,short,3,1.221,1.241,-1.0573,1.221
Diagonal Climatology,20%,normal,stable,short,3,0.221,0.271,-1.3543,0.216
Diagonal Climatology,20%,low_temp,crossing,long,35,3.686,3.722,-0.1011,3.686
Diagonal Climatology,20%,low_temp,crossing,short,3,0.498,0.595,0.8087,0.498
Diagonal Climatology,20%,stagnant_wind,stable,short,5,0.25,0.355,-5.8251,0.25
Diagonal Climatology,20%,normal,falling,medium,11,0.28,0.315,0.9771,0.249
Diagonal Climatology,20%,low_temp,crossing,short,5,3.454,3.459,-4.3603,3.454
Diagonal Climatology,20%,low_temp,crossing,medium,7,0.334,0.42,0.9591,0.259
Diagonal Climatology,20%,normal,stable,short,5,1.376,1.527,-58.6681,1.376
Diagonal Climatology,20%,stagnant_wind,stable,medium,7,0.81,0.877,-10.8015,-0.81
Diagonal Climatology,20%,normal,crossing,medium,23,2.116,2.147,0.4634,-2.116
Diagonal Climatology,20%,normal,stable,long,45,1.379,1.658,-1.3757,-0.148
Diagonal Climatology,20%,normal,crossing,medium,17,1.466,1.54,0.6995,0.067
Diagonal Climatology,20%,stagnant_wind,stable,short,1,1.298,1.298,,-1.298
Diagonal Climatology,20%,normal,stable,long,27,0.851,1.064,0.8094,-0.843
Diagonal Climatology,20%,normal,stable,short,5,2.027,2.059,-130.1433,-2.027
Diagonal Climatology,20%,normal,crossing,long,39,2.43,2.625,0.4515,2.43
Diagonal Climatology,20%,normal,stable,medium,7,0.836,0.959,-16.7391,-0.836
Diagonal Climatology,20%,normal,stable,long,42,0.728,0.884,0.8716,-0.548
Diagonal Climatology,20%,normal,crossing,medium,21,0.912,1.084,0.5501,0.912
Diagonal Climatology,20%,stagnant_wind,crossing,medium,7,0.746,0.857,-2.0742,-0.725
Diagonal Climatology,20%,normal,rising,medium,13,3.597,3.885,0.0771,3.597
Diagonal Climatology,20%,stagnant_wind,stable,short,2,0.471,0.471,-2.4936,-0.007
Diagonal Climatology,20%,normal,crossing,long,37,0.898,1.038,0.869,0.872
Diagonal Climatology,20%,normal,crossing,medium,18,0.923,1.145,0.5494,-0.439
Diagonal Climatology,20%,normal,falling,long,43,1.248,1.832,0.3415,1.024
Diagonal Climatology,20%,normal,crossing,long,37,1.102,1.354,0.7643,0.679
Diagonal Climatology,20%,normal,stable,long,41,1.624,1.897,0.1449,1.614
Diagonal Climatology,20%,high_temp,crossing,medium,23,2.419,2.532,0.676,-2.419
Diagonal Climatology,20%,low_temp,stable,short,3,2.876,2.888,-1542.4034,2.876
Diagonal Climatology,20%,normal,stable,long,37,0.956,1.085,0.3353,-0.949
Diagonal Climatology,20%,low_temp,stable,short,1,1.002,1.002,,1.002
Diagonal Climatology,20%,high_temp,stable,long,28,3.209,3.499,-0.4302,-3.209
Diagonal Climatology,20%,normal,rising,medium,7,0.593,0.668,0.6091,0.593
Diagonal Climatology,20%,normal,stable,medium,7,2.623,3.111,-12.9626,2.623
Diagonal Climatology,20%,high_temp,crossing,short,3,4.016,4.202,-5.4267,4.016
Diagonal Climatology,20%,normal,crossing,medium,9,0.471,0.536,0.9588,-0.137
Diagonal Climatology,20%,normal,stable,medium,17,0.601,0.647,0.6854,-0.55
Diagonal Climatology,20%,stagnant_wind,stable,medium,9,2.257,2.439,-5.6554,-2.257
Diagonal Climatology,20%,normal,stable,long,33,0.829,1.073,0.8221,-0.161
Diagonal Climatology,20%,normal,stable,medium,7,0.586,0.715,-1.0928,-0.586
Diagonal Climatology,20%,low_temp,crossing,medium,21,1.201,1.451,-0.1405,1.192
Diagonal Climatology,20%,normal,rising,short,3,1.838,1.842,-7.8473,1.838
Diagonal Climatology,20%,normal,rising,long,25,0.464,0.574,0.7878,0.334
Diagonal Climatology,20%,high_temp,crossing,medium,19,5.557,5.617,-3.1583,-5.557
Diagonal Climatology,20%,normal,falling,short,3,10.557,10.584,-260.6693,10.557
Diagonal Climatology,20%,normal,crossing,medium,17,1.458,1.516,0.8297,1.458
Diagonal Climatology,20%,low_temp,rising,medium,17,2.795,2.994,-1.7493,2.795
Diagonal Climatology,20%,normal,stable,short,3,1.041,1.044,-77.0734,-1.041
Diagonal Climatology,20%,normal,crossing,medium,23,2.817,2.895,0.2837,-2.817
Diagonal Climatology,20%,extreme_high_temp,stable,short,5,2.592,2.615,-32.2076,-2.592
Diagonal Climatology,20%,normal,falling,short,5,0.235,0.259,0.9362,0.018
Diagonal Climatology,20%,normal,rising,short,5,0.472,0.541,0.7155,-0.021
Diagonal Climatology,20%,normal,crossing,short,5,0.165,0.186,0.0669,-0.083
Diagonal Climatology,20%,normal,stable,short,3,1.457,1.594,-11.5252,-1.457
