Boundary,Linear,Spline,Diagonal Climatology,LOCF
stable,1.3978055555555557,2.5557055555555555,1.5961999999999998,1.696738888888889
rising,2.0975333333333332,3.2405666666666666,2.0962166666666664,3.4136
falling,1.0387872340425532,1.8450638297872342,2.1026808510638295,2.260723404255319
crossing,1.9652865168539326,2.7368089887640448,1.7855730337078652,3.665578651685393
