Length,Linear,Spline,Diagonal Climatology,LOCF
short,0.6539456521739131,1.6501195652173914,1.698679347826087,1.5573641304347827
medium,1.8156451612903224,2.4881021505376344,1.7746881720430108,3.2666720430107525
long,3.3480526315789474,4.862336842105264,1.9694526315789476,3.945263157894737
