Missing %,5%,5%,5%,5%,10%,10%,10%,10%,15%,15%,15%,15%,20%,20%,20%,20%
,Bias,MAE,R2,RMSE,Bias,MAE,R2,RMSE,Bias,MAE,R2,RMSE,Bias,MAE,R2,RMSE
Method,,,,,,,,,,,,,,,,
Diagonal Climatology,0.314,0.422,0.9649,0.646,0.3,0.416,0.9692,0.606,0.308,0.422,0.9655,0.641,0.297,0.441,0.9651,0.644
LOCF,0.245,0.379,0.9731,0.566,0.297,0.426,0.9659,0.637,0.288,0.426,0.9672,0.625,0.27,0.435,0.9639,0.655
Linear,0.289,0.41,0.9663,0.634,0.191,0.359,0.977,0.523,0.181,0.363,0.975,0.545,0.266,0.41,0.9669,0.627
Spline,0.164,0.333,0.9817,0.467,0.147,0.339,0.9807,0.479,0.176,0.359,0.979,0.5,0.223,0.4,0.9756,0.539
